"","prefecture","time","birth"
"12858","Mie",2018.25,243.129807692308
"12859","Mie",2018.26923076923,243.099852071006
"12860","Mie",2018.28846153846,243.069896449704
"12861","Mie",2018.30769230769,243.039940828402
"12862","Mie",2018.32692307692,243.009985207101
"12863","Mie",2018.34615384615,242.980029585799
"12864","Mie",2018.36538461538,242.950073964497
"12865","Mie",2018.38461538462,242.920118343195
"12866","Mie",2018.40384615385,242.890162721893
"12867","Mie",2018.42307692308,242.860207100592
"12868","Mie",2018.44230769231,242.83025147929
"12869","Mie",2018.46153846154,242.800295857988
"12870","Mie",2018.48076923077,242.770340236686
"12871","Mie",2018.5,242.740384615385
"12872","Mie",2018.51923076923,242.710428994083
"12873","Mie",2018.53846153846,242.680473372781
"12874","Mie",2018.55769230769,242.650517751479
"12875","Mie",2018.57692307692,242.620562130177
"12876","Mie",2018.59615384615,242.590606508876
"12877","Mie",2018.61538461538,242.560650887574
"12878","Mie",2018.63461538462,242.530695266272
"12879","Mie",2018.65384615385,242.50073964497
"12880","Mie",2018.67307692308,242.470784023669
"12881","Mie",2018.69230769231,242.440828402367
"12882","Mie",2018.71153846154,242.410872781065
"12883","Mie",2018.73076923077,242.380917159763
"12884","Mie",2018.75,242.350961538462
"12885","Mie",2018.76923076923,242.32100591716
"12886","Mie",2018.78846153846,242.291050295858
"12887","Mie",2018.80769230769,242.261094674556
"12888","Mie",2018.82692307692,242.231139053254
"12889","Mie",2018.84615384615,242.201183431953
"12890","Mie",2018.86538461538,242.171227810651
"12891","Mie",2018.88461538462,242.141272189349
"12892","Mie",2018.90384615385,242.111316568047
"12893","Mie",2018.92307692308,242.081360946746
"12894","Mie",2018.94230769231,242.051405325444
"12895","Mie",2018.96153846154,242.021449704142
"12896","Mie",2018.98076923077,241.99149408284
"12897","Mie",2019,241.961538461538
"12898","Mie",2019.01923076923,241.631656804735
"12899","Mie",2019.03846153846,241.301775147931
"12900","Mie",2019.05769230769,240.971893491123
"12901","Mie",2019.07692307692,240.642011834319
"12902","Mie",2019.09615384615,240.312130177515
"12903","Mie",2019.11538461538,239.982248520712
"12904","Mie",2019.13461538462,239.652366863904
"12905","Mie",2019.15384615385,239.3224852071
"12906","Mie",2019.17307692308,238.992603550296
"12907","Mie",2019.19230769231,238.662721893492
"12908","Mie",2019.21153846154,238.332840236685
"12909","Mie",2019.23076923077,238.002958579881
"12910","Mie",2019.25,237.673076923077
"12911","Mie",2019.26923076923,237.343195266273
"12912","Mie",2019.28846153846,237.013313609469
"12913","Mie",2019.30769230769,236.683431952662
"12914","Mie",2019.32692307692,236.353550295858
"12915","Mie",2019.34615384615,236.023668639054
"12916","Mie",2019.36538461538,235.69378698225
"12917","Mie",2019.38461538462,235.363905325442
"12918","Mie",2019.40384615385,235.034023668638
"12919","Mie",2019.42307692308,234.704142011835
"12920","Mie",2019.44230769231,234.374260355031
"12921","Mie",2019.46153846154,234.044378698223
"12922","Mie",2019.48076923077,233.714497041419
"12923","Mie",2019.5,233.384615384615
"12924","Mie",2019.51923076923,233.054733727812
"12925","Mie",2019.53846153846,232.724852071008
"12926","Mie",2019.55769230769,232.3949704142
"12927","Mie",2019.57692307692,232.065088757396
"12928","Mie",2019.59615384615,231.735207100592
"12929","Mie",2019.61538461538,231.405325443788
"12930","Mie",2019.63461538462,231.075443786981
"12931","Mie",2019.65384615385,230.745562130177
"12932","Mie",2019.67307692308,230.415680473373
"12933","Mie",2019.69230769231,230.085798816569
"12934","Mie",2019.71153846154,229.755917159762
"12935","Mie",2019.73076923077,229.426035502958
"12936","Mie",2019.75,229.096153846154
"12937","Mie",2019.76923076923,228.76627218935
"12938","Mie",2019.78846153846,228.436390532546
"12939","Mie",2019.80769230769,228.106508875738
"12940","Mie",2019.82692307692,227.776627218935
"12941","Mie",2019.84615384615,227.446745562131
"12942","Mie",2019.86538461538,227.116863905327
"12943","Mie",2019.88461538462,226.786982248519
"12944","Mie",2019.90384615385,226.457100591715
"12945","Mie",2019.92307692308,226.127218934912
"12946","Mie",2019.94230769231,225.797337278108
"12947","Mie",2019.96153846154,225.4674556213
"12948","Mie",2019.98076923077,225.137573964496
"12949","Mie",2020,224.807692307692
"12950","Mie",2020.01923076923,224.604659763314
"12951","Mie",2020.03846153846,224.401627218936
"12952","Mie",2020.05769230769,224.198594674555
"12953","Mie",2020.07692307692,223.995562130177
"12954","Mie",2020.09615384615,223.792529585799
"12955","Mie",2020.11538461538,223.589497041421
"12956","Mie",2020.13461538462,223.386464497041
"12957","Mie",2020.15384615385,223.183431952662
"12958","Mie",2020.17307692308,222.980399408284
"12959","Mie",2020.19230769231,222.777366863906
"12960","Mie",2020.21153846154,222.574334319526
"12961","Mie",2020.23076923077,222.371301775147
"12962","Mie",2020.25,222.168269230769
"12963","Mie",2020.26923076923,221.965236686391
"12964","Mie",2020.28846153846,221.762204142013
"12965","Mie",2020.30769230769,221.559171597632
"12966","Mie",2020.32692307692,221.356139053254
"12967","Mie",2020.34615384615,221.153106508876
"12968","Mie",2020.36538461538,220.950073964498
"12969","Mie",2020.38461538462,220.747041420117
"12970","Mie",2020.40384615385,220.544008875739
"12971","Mie",2020.42307692308,220.340976331361
"12972","Mie",2020.44230769231,220.137943786983
"12973","Mie",2020.46153846154,219.934911242602
"12974","Mie",2020.48076923077,219.731878698224
"12975","Mie",2020.5,219.528846153846
"12976","Mie",2020.51923076923,219.325813609468
"12977","Mie",2020.53846153846,219.12278106509
"12978","Mie",2020.55769230769,218.919748520709
"12979","Mie",2020.57692307692,218.716715976331
"12980","Mie",2020.59615384615,218.513683431953
"12981","Mie",2020.61538461538,218.310650887575
"12982","Mie",2020.63461538462,218.107618343194
"12983","Mie",2020.65384615385,217.904585798816
"12984","Mie",2020.67307692308,217.701553254438
"12985","Mie",2020.69230769231,217.49852071006
"12986","Mie",2020.71153846154,217.295488165679
"12987","Mie",2020.73076923077,217.092455621301
"12988","Mie",2020.75,216.889423076923
"12989","Mie",2020.76923076923,216.686390532545
"12990","Mie",2020.78846153846,216.483357988167
"12991","Mie",2020.80769230769,216.280325443786
"12992","Mie",2020.82692307692,216.077292899408
"12993","Mie",2020.84615384615,215.87426035503
"12994","Mie",2020.86538461538,215.671227810652
"12995","Mie",2020.88461538462,215.468195266271
"12996","Mie",2020.90384615385,215.265162721893
"12997","Mie",2020.92307692308,215.062130177515
"12998","Mie",2020.94230769231,214.859097633137
"12999","Mie",2020.96153846154,214.656065088756
"13000","Mie",2020.98076923077,214.453032544378
"13001","Mie",2021,214.25
"13002","Mie",2021.01923076923,214.190458579882
"13003","Mie",2021.03846153846,214.130917159764
"13004","Mie",2021.05769230769,214.071375739645
"13005","Mie",2021.07692307692,214.011834319527
"13006","Mie",2021.09615384615,213.952292899408
"13007","Mie",2021.11538461538,213.89275147929
"13008","Mie",2021.13461538462,213.833210059171
"13009","Mie",2021.15384615385,213.773668639053
"13010","Mie",2021.17307692308,213.714127218935
"13011","Mie",2021.19230769231,213.654585798817
"13012","Mie",2021.21153846154,213.595044378698
"13013","Mie",2021.23076923077,213.53550295858
"13014","Mie",2021.25,213.475961538462
"13015","Mie",2021.26923076923,213.416420118343
"13016","Mie",2021.28846153846,213.356878698225
"13017","Mie",2021.30769230769,213.297337278106
"13018","Mie",2021.32692307692,213.237795857988
"13019","Mie",2021.34615384615,213.17825443787
"13020","Mie",2021.36538461538,213.118713017752
"13021","Mie",2021.38461538462,213.059171597633
"13022","Mie",2021.40384615385,212.999630177515
"13023","Mie",2021.42307692308,212.940088757396
"13024","Mie",2021.44230769231,212.880547337278
"13025","Mie",2021.46153846154,212.821005917159
"13026","Mie",2021.48076923077,212.761464497041
"13027","Mie",2021.5,212.701923076923
"13028","Mie",2021.51923076923,212.642381656805
"13029","Mie",2021.53846153846,212.582840236687
"13030","Mie",2021.55769230769,212.523298816568
"13031","Mie",2021.57692307692,212.46375739645
"13032","Mie",2021.59615384615,212.404215976331
"13033","Mie",2021.61538461538,212.344674556213
"13034","Mie",2021.63461538462,212.285133136094
"13035","Mie",2021.65384615385,212.225591715976
"13036","Mie",2021.67307692308,212.166050295858
"13037","Mie",2021.69230769231,212.10650887574
"13038","Mie",2021.71153846154,212.046967455621
